rank,name,series,score,conf,h1_inc,h1_weeks,pixiv_total,seasonal,vtuber
1,ホシノ,ブルーアーカイブ,82.71,A,1928,8,36843,0.0,False
2,博麗霊夢,東方Project,81.99,A,1480,9,141687,0.0,False
3,古明地こいし,東方Project,81.59,A,1496,6,95525,0.0,False
4,八重神子,原神,80.78,B,1642,2,25573,0.0,False
5,フランドール・スカーレット,東方Project,80.74,A,1349,7,102980,0.0,False
6,霧雨魔理沙,東方Project,77.79,A,966,6,112585,0.0,False
7,胡蝶しのぶ,鬼滅の刃,77.79,A,458,3,36986,55.0,False
8,ナヒーダ,原神,74.63,B,864,2,20847,0.0,False
9,レミリア・スカーレット,東方Project,74.21,A,690,5,76343,0.0,False
10,ミカ,ブルーアーカイブ,73.32,A,714,3,29305,0.0,False
11,サイレンススズカ,ウマ娘,73.24,B,731,2,23339,0.0,False
12,ダイワスカーレット,ウマ娘,73.21,B,721,2,25089,0.0,False
13,篠澤広,学園アイドルマスター,71.97,A,673,4,15546,0.0,False
14,ヒナ,ブルーアーカイブ,71.56,B,592,2,28369,0.0,False
15,マンハッタンカフェ,ウマ娘,71.49,A,593,3,26483,0.0,False
16,竜華キサキ,ブルーアーカイブ,71.12,B,606,2,16920,0.0,False
17,アルトリア・ペンドラゴン,Fate,69.96,B,496,1,28986,0.0,False
18,マシュ・キリエライト,Fate,68.49,B,409,1,36524,0.0,False
19,遠坂凛,Fate,67.88,B,413,1,20972,0.0,False
20,可愛い,バンドリ！,66.47,A,1398,3,0,0.0,False
21,チルノ,東方Project,65.94,A,259,3,132463,0.0,False
22,シロコ,ブルーアーカイブ,63.17,B,240,1,25733,0.0,False
23,パチュリー・ノーレッジ,東方Project,62.67,B,216,1,37013,0.0,False
24,コイカツ,—,61.74,B,835,2,0,0.0,False
25,十六夜咲夜,東方Project,61.34,B,169,2,76035,0.0,False
26,アイドルマスター,シャニマス,60.18,A,704,4,0,0.0,False
27,アーミヤ,アークナイツ,58.87,B,156,1,19243,0.0,False
28,月村手毬,学園アイドルマスター,58.58,B,591,2,0,0.0,False
29,ホタル,崩壊スターレイル,58.58,B,147,1,23376,0.0,False
30,東風谷早苗,東方Project,58.56,B,128,1,62631,0.0,False
31,ゴールドシップ,ウマ娘,58.37,B,141,1,26889,0.0,False
32,メイド服,Re:ゼロ,57.26,B,512,1,0,0.0,False
33,ユウカ,ブルーアーカイブ,57.26,B,121,1,33524,0.0,False
34,黒川あかね,推しの子,55.64,B,429,1,0,0.0,False
35,魂魄妖夢,東方Project,55.11,B,86,1,71222,0.0,False
36,藤田ことね,学園アイドルマスター,50.25,B,238,1,0,0.0,False
37,AzurLane,アズールレーン,50.14,B,235,1,0,0.0,False
38,バンドリ,バンドリ！,49.9,B,229,1,0,0.0,False
39,ヒロアカ,僕のヒーローアカデミア,45.92,B,148,1,0,0.0,False
40,レミエール・ダン,ゼンレスゾーンゼロ,45.6,B,143,1,0,0.0,False
41,ミホノブルボン,ウマ娘,44.52,B,127,1,0,0.0,False
42,銀狼,崩壊スターレイル,42.35,B,100,1,0,0.0,False
43,プラナ,ブルーアーカイブ,41.29,B,89,1,0,0.0,False
44,ドールズフロントライン,少女前線,41.19,B,88,1,0,0.0,False
45,フリーレン,葬送のフリーレン,35.59,B,0,0,35701,90.0,False
46,五条悟,呪術廻戦,35.53,B,0,0,49328,85.0,False
47,エミリア,Re:ゼロ,34.28,B,0,0,15490,93.0,False
48,後藤ひとり,ぼっち・ざ・ろっく！,30.71,B,0,0,42444,55.0,False
49,フェルン,葬送のフリーレン,29.58,B,0,0,17427,60.0,False
50,お品書き,アイドリッシュセブン,29.54,B,24,1,0,0.0,False
51,マキマ,チェンソーマン,29.26,B,0,0,30514,50.0,False
52,錦木千束,リコリス・リコイル,27.93,B,0,0,23167,45.0,False
53,アーニャ・フォージャー,SPY×FAMILY,27.81,B,0,0,15315,50.0,False
54,アリス・マーガトロイド,東方Project,23.21,C,0,0,60507,0.0,False
55,リヴァイ,進撃の巨人,23.1,C,0,0,57483,0.0,False
56,古明地さとり,東方Project,23.09,C,0,0,57143,0.0,False
57,射命丸文,東方Project,22.92,C,0,0,52838,0.0,False
58,八雲紫,東方Project,22.84,C,0,0,50893,0.0,False
59,藤原妹紅,東方Project,22.54,C,0,0,44112,0.0,False
60,鈴仙・優曇華院・イナバ,東方Project,22.37,C,0,0,40654,0.0,False
61,矢澤にこ,ラブライブ！,22.37,C,0,0,40591,0.0,False
62,紅美鈴,東方Project,22.32,C,0,0,39707,0.0,False
63,西行寺幽々子,東方Project,22.18,C,0,0,37196,0.0,False
64,ライスシャワー,ウマ娘,22.07,C,0,0,35209,0.0,False
65,雷電将軍,原神,21.87,C,0,0,32142,0.0,False
66,八雲藍,東方Project,21.85,C,0,0,31759,0.0,False
67,アグネスタキオン,ウマ娘,21.76,C,0,0,30455,0.0,False
68,甘雨,原神,21.63,C,0,0,28594,0.0,False
69,天海春香,アイドルマスター,21.58,C,0,0,27977,0.0,False
70,メジロマックイーン,ウマ娘,21.56,C,0,0,27676,0.0,False
71,胡桃,原神,21.45,C,0,0,26324,0.0,False
72,エレン・イェーガー,進撃の巨人,21.42,C,0,0,25981,0.0,False
73,蛍,原神,21.35,C,0,0,25112,0.0,False
74,トウカイテイオー,ウマ娘,21.3,C,0,0,24434,0.0,False
75,如月千早,アイドルマスター,21.25,C,0,0,23968,0.0,False
76,フリーナ,原神,21.2,C,0,0,23382,0.0,False
77,渋谷凛,アイドルマスター,21.11,C,0,0,22419,0.0,False
78,ヨル・フォージャー,SPY×FAMILY,21.0,C,0,0,21195,0.0,False
79,神里綾華,原神,20.97,C,0,0,20986,0.0,False
80,夏油傑,呪術廻戦,20.97,C,0,0,20925,0.0,False
81,蓬莱山輝夜,東方Project,20.93,C,0,0,20582,0.0,False
82,オグリキャップ,ウマ娘,20.89,C,0,0,20204,0.0,False
83,サトノダイヤモンド,ウマ娘,20.85,C,0,0,19801,0.0,False
84,宵崎奏,プロジェクトセカイ,20.83,C,0,0,19551,0.0,False
85,井ノ上たきな,リコリス・リコイル,20.75,C,0,0,18828,0.0,False
86,虎杖悠仁,呪術廻戦,20.75,C,0,0,18826,0.0,False
87,菊地真,アイドルマスター,20.7,C,0,0,18407,0.0,False
88,キタサンブラック,ウマ娘,20.68,C,0,0,18286,0.0,False
89,ミカサ・アッカーマン,進撃の巨人,20.65,C,0,0,17952,0.0,False
90,星井美希,アイドルマスター,20.59,C,0,0,17513,0.0,False
91,ナイスネイチャ,ウマ娘,20.59,C,0,0,17453,0.0,False
92,我那覇響,アイドルマスター,20.57,C,0,0,17282,0.0,False
93,轟焦凍,僕のヒーローアカデミア,20.56,C,0,0,17230,0.0,False
94,高槻やよい,アイドルマスター,20.56,C,0,0,17225,0.0,False
95,島村卯月,アイドルマスター,20.53,C,0,0,16985,0.0,False
96,スペシャルウィーク,ウマ娘,20.52,C,0,0,16949,0.0,False
97,高垣楓,アイドルマスター,20.36,C,0,0,15670,0.0,False
98,アル,ブルーアーカイブ,20.35,C,0,0,15594,0.0,False
99,トガヒミコ,僕のヒーローアカデミア,20.32,C,0,0,15384,0.0,False
100,伏黒恵,呪術廻戦,20.3,C,0,0,15239,0.0,False
