rank,name,series,score,conf,h1_inc,h1_weeks,pixiv_total,seasonal,vtuber
1,ホシノ,ブルーアーカイブ,87.1,A,1928,8,36668,55,False
2,八重神子,原神,85.3,B,1642,2,26107,55,False
3,ミカ,ブルーアーカイブ,79.5,A,865,4,29161,48,False
4,ナヒーダ,原神,79.2,B,864,2,20769,50,False
5,胡蝶しのぶ,鬼滅の刃,77.5,B,458,3,36839,58,False
6,博麗霊夢,東方Project,77.1,A,1480,8,141522,0,False
7,ヒナ,ブルーアーカイブ,76.7,B,592,2,27705,48,False
8,篠澤広,学園アイドルマスター,76.5,A,814,5,15255,42,False
9,フリーレン,葬送のフリーレン,75.9,C,143,1,35594,92,False
10,古明地こいし,東方Project,75.8,A,1386,5,95357,0,False
11,フランドール・スカーレット,東方Project,75.7,A,1349,7,102721,0,False
12,ダイワスカーレット,ウマ娘,75.5,B,721,2,24546,36,False
13,サイレンススズカ,ウマ娘,75.4,B,731,2,23121,36,False
14,マンハッタンカフェ,ウマ娘,74.6,B,593,3,26205,38,False
15,アルトリア・ペンドラゴン,Fate,74.3,C,496,1,28729,42,False
16,竜華キサキ,ブルーアーカイブ,74.2,B,606,2,16677,40,False
17,月村手毬,学園アイドルマスター,73.6,B,591,2,8609,45,False
18,霧雨魔理沙,東方Project,73.5,A,966,6,112441,0,False
19,マシュ・キリエライト,Fate,73.0,C,409,1,36167,40,False
20,黒川あかね,推しの子,72.8,C,429,1,6490,55,False
21,遠坂凛,Fate,71.5,C,413,1,20678,38,False
22,レミリア・スカーレット,東方Project,70.3,A,690,5,76167,0,False
23,シロコ,ブルーアーカイブ,68.9,C,240,1,25171,42,False
24,エミリア,Re:ゼロ,68.3,B,0,0,15490,96,False
25,五条悟,呪術廻戦,66.8,B,0,0,49328,88,False
26,藤田ことね,学園アイドルマスター,66.2,C,238,1,10773,38,False
27,ユウカ,ブルーアーカイブ,65.2,C,121,1,32930,45,False
28,ゴールドシップ,ウマ娘,64.4,C,141,1,26300,38,False
29,パチュリー・ノーレッジ,東方Project,60.5,C,216,1,36678,0,False
30,チルノ,東方Project,60.2,C,140,1,131946,0,False
31,東風谷早苗,東方Project,57.9,C,128,1,62334,0,False
32,アーミヤ,アークナイツ,56.8,C,156,1,18976,0,False
33,ホタル,崩壊スターレイル,56.8,C,147,1,23101,0,False
34,十六夜咲夜,東方Project,56.3,C,96,1,75476,0,False
35,ミホノブルボン,ウマ娘,54.6,C,127,1,13000,0,False
36,後藤ひとり,ぼっち・ざ・ろっく！,53.5,B,0,0,42444,62,False
37,プラナ,ブルーアーカイブ,52.0,C,89,1,12618,0,False
38,銀狼,崩壊スターレイル,51.6,C,100,1,7214,0,False
39,フェルン,葬送のフリーレン,51.6,B,0,0,17427,62,False
40,ナツキ・スバル,Re:ゼロ,50.0,B,0,0,0,100,False
41,マキマ,チェンソーマン,49.3,B,0,0,30514,55,False
42,アーニャ・フォージャー,SPY×FAMILY,49.3,B,0,0,15315,58,False
43,リヴァイ,進撃の巨人,49.1,B,0,0,57483,52,False
44,虎杖悠仁,呪術廻戦,48.2,B,0,0,18826,55,False
45,レム,Re:ゼロ,47.5,B,0,0,0,95,False
46,夏油傑,呪術廻戦,47.0,B,0,0,20925,52,False
47,錦木千束,リコリス・リコイル,46.2,B,0,0,23167,50,False
48,伏黒恵,呪術廻戦,45.3,B,0,0,15239,50,False
49,雷電将軍,原神,43.9,C,0,0,32142,45,False
50,ライスシャワー,ウマ娘,43.7,C,0,0,35209,40,False
51,甘雨,原神,42.9,C,0,0,28594,40,False
52,胡桃,原神,42.8,C,0,0,26324,42,False
53,エレン・イェーガー,進撃の巨人,42.8,C,0,0,25981,42,False
54,フリーナ,原神,42.7,C,0,0,23382,45,False
55,ヨル・フォージャー,SPY×FAMILY,42.6,C,0,0,21195,48,False
56,魂魄妖夢,東方Project,42.4,C,0,0,71222,0,False
57,メジロマックイーン,ウマ娘,42.4,C,0,0,27676,36,False
58,蛍,原神,42.2,C,0,0,25112,38,False
59,アリス・マーガトロイド,東方Project,41.8,C,0,0,60507,0,False
60,トウカイテイオー,ウマ娘,41.8,C,0,0,24434,35,False
61,古明地さとり,東方Project,41.6,C,0,0,57143,0,False
62,井ノ上たきな,リコリス・リコイル,41.5,C,0,0,18828,42,False
63,射命丸文,東方Project,41.3,C,0,0,52838,0,False
64,神里綾華,原神,41.3,C,0,0,20986,35,False
65,ミカサ・アッカーマン,進撃の巨人,41.2,C,0,0,17952,40,False
66,八雲紫,東方Project,41.1,C,0,0,50893,0,False
67,リムル・テンペスト,転生したらスライムだった件,41.0,B,0,0,0,82,False
68,藤原妹紅,東方Project,40.6,C,0,0,44112,0,False
69,鈴仙・優曇華院・イナバ,東方Project,40.3,C,0,0,40654,0,False
70,矢澤にこ,ラブライブ！,40.3,C,0,0,40591,0,False
71,紅美鈴,東方Project,40.2,C,0,0,39707,0,False
72,西行寺幽々子,東方Project,39.9,C,0,0,37196,0,False
73,八雲藍,東方Project,39.3,C,0,0,31759,0,False
