rank,name,series,score,conf,h1_inc,h1_weeks,pixiv_total,seasonal,vtuber
rank,name,series,score,conf,h1_inc,h1_weeks,pixiv_total,seasonal,vtuber
1,博麗霊夢,東方Project,321.66,A,3291,22,141522,0.0,False
2,霧雨魔理沙,東方Project,315.35,A,2789,19,112441,0.0,False
3,フランドール・スカーレット,東方Project,314.57,A,3223,19,102799,0.0,False
4,古明地こいし,東方Project,310.9,A,2495,17,95365,0.0,False
5,チルノ,東方Project,310.19,A,944,15,132319,0.0,False
6,レミリア・スカーレット,東方Project,303.26,A,1767,15,76167,0.0,False
7,ドールズフロントライン,少女前線,300.96,B,364,3,122894,0.0,False
8,十六夜咲夜,東方Project,297.73,A,893,12,75942,0.0,False
9,お品書き,アイドリッシュセブン,293.3,B,72,3,156693,0.0,False
10,白上フブキ,ホロライブ,290.3,A,2230,9,38374,0.0,True
10,バンドリ,バンドリ！,289.56,B,273,2,80743,0.0,False
11,ZenlessZoneZero,ゼンレスゾーンゼロ,288.78,C,474,1,63498,0.0,False
12,胡蝶しのぶ,鬼滅の刃,288.32,B,458,3,36839,58.0,False
13,ホシノ,ブルーアーカイブ,288.14,A,1928,8,36668,0.0,False
14,魂魄妖夢,東方Project,287.46,A,286,8,72007,0.0,False
15,東風谷早苗,東方Project,286.54,A,373,8,62553,0.0,False
17,星街すいせい,ホロライブ,285.6,A,1286,5,37884,0.0,True
16,フリーレン,葬送のフリーレン,285.08,C,143,1,35594,92.0,False
17,マシュ・キリエライト,Fate,282.42,C,409,1,36167,35.0,False
18,WutheringWaves,鳴潮,282.4,C,689,1,41172,0.0,False
19,アルトリア・ペンドラゴン,Fate,279.98,C,496,1,28729,40.0,False
20,ヒロアカ,僕のヒーローアカデミア,279.94,C,148,1,64887,0.0,False
21,八重神子,原神,279.51,B,1642,2,26107,0.0,False
22,ゼンゼロ,ゼンレスゾーンゼロ,278.14,C,360,1,43003,0.0,False
23,ミカ,ブルーアーカイブ,276.76,A,865,4,29161,0.0,False
24,アリス・マーガトロイド,東方Project,276.72,A,120,6,60382,0.0,False
25,绝区零,ゼンレスゾーンゼロ,276.53,C,310,1,42176,0.0,False
26,AzurLane,アズールレーン,276.17,C,235,1,45954,0.0,False
27,ヒナ,ブルーアーカイブ,272.61,B,592,2,27705,0.0,False
30,常闇トワ,ホロライブ,272.36,B,913,2,23321,0.0,True
28,ダイワスカーレット,ウマ娘,271.57,B,721,2,24546,0.0,False
29,マンハッタンカフェ,ウマ娘,271.42,B,593,3,26205,0.0,False
30,パチュリー・ノーレッジ,東方Project,270.62,C,216,1,36678,0.0,False
31,サイレンススズカ,ウマ娘,270.39,B,731,2,23121,0.0,False
32,ナヒーダ,原神,269.41,B,864,2,20769,0.0,False
33,ユウカ,ブルーアーカイブ,263.66,C,121,1,32930,0.0,False
34,遠坂凛,Fate,263.4,C,413,1,20678,0.0,False
35,シロコ,ブルーアーカイブ,263.31,C,240,1,25171,0.0,False
36,篠澤広,学園アイドルマスター,262.25,A,814,5,15255,0.0,False
37,竜華キサキ,ブルーアーカイブ,261.82,B,606,2,16677,0.0,False
41,博衣こより,ホロライブ,260.42,B,889,2,13567,0.0,True
