rank,name,series,score,conf,h1_inc,h1_weeks,pixiv_total,seasonal,vtuber
1,ホシノ,ブルーアーカイブ,87.1,A,1928,8,36668,55,False
2,白上フブキ,ホロライブ,86.2,A,2230,9,38374,45,True
3,八重神子,原神,85.3,B,1642,2,26107,55,False
4,星街すいせい,ホロライブ,81.7,A,1286,5,37884,42,True
5,ミカ,ブルーアーカイブ,79.5,A,865,4,29161,48,False
6,ナヒーダ,原神,79.2,B,864,2,20769,50,False
7,胡蝶しのぶ,鬼滅の刃,77.5,B,458,3,36839,58,False
8,博麗霊夢,東方Project,77.1,A,1480,8,141522,0,False
9,ヒナ,ブルーアーカイブ,76.7,B,592,2,27705,48,False
10,篠澤広,学園アイドルマスター,76.5,A,814,5,15255,42,False
11,フリーレン,葬送のフリーレン,75.9,C,143,1,35594,92,False
12,古明地こいし,東方Project,75.8,A,1386,5,95357,0,False
13,フランドール・スカーレット,東方Project,75.7,A,1349,7,102721,0,False
14,ダイワスカーレット,ウマ娘,75.5,B,721,2,24546,36,False
15,サイレンススズカ,ウマ娘,75.4,B,731,2,23121,36,False
16,マンハッタンカフェ,ウマ娘,74.6,B,593,3,26205,38,False
17,アルトリア・ペンドラゴン,Fate,74.3,C,496,1,28729,42,False
18,竜華キサキ,ブルーアーカイブ,74.2,B,606,2,16677,40,False
19,月村手毬,学園アイドルマスター,73.6,B,591,2,8609,45,False
20,霧雨魔理沙,東方Project,73.5,A,966,6,112441,0,False
21,マシュ・キリエライト,Fate,73.0,C,409,1,36167,40,False
22,黒川あかね,推しの子,72.8,C,429,1,6490,55,False
23,遠坂凛,Fate,71.5,C,413,1,20678,38,False
24,レミリア・スカーレット,東方Project,70.3,A,690,5,76167,0,False
25,常闇トワ,ホロライブ,69.8,B,913,2,23321,0,True
26,シロコ,ブルーアーカイブ,68.9,C,240,1,25171,42,False
27,博衣こより,ホロライブ,68.5,B,889,2,13567,0,True
28,エミリア,Re:ゼロ,68.3,B,0,0,15490,96,False
29,五条悟,呪術廻戦,66.8,B,0,0,49328,88,False
30,藤田ことね,学園アイドルマスター,66.2,C,238,1,10773,38,False
31,風真いろは,ホロライブ,65.5,B,572,3,14496,0,True
32,ユウカ,ブルーアーカイブ,65.2,C,121,1,32930,45,False
33,ゼンゼロ,ゼンレスゾーンゼロ,64.5,C,360,1,43003,0,False
34,ゴールドシップ,ウマ娘,64.4,C,141,1,26300,38,False
35,绝区零,ゼンレスゾーンゼロ,63.4,C,310,1,42176,0,False
36,バンドリ,バンドリ！,62.6,C,229,1,80743,0,False
37,パチュリー・ノーレッジ,東方Project,60.5,C,216,1,36678,0,False
38,チルノ,東方Project,60.2,C,140,1,131946,0,False
39,ヒロアカ,僕のヒーローアカデミア,59.0,C,148,1,64887,0,False
40,ときのそら,ホロライブ,58.7,C,236,1,11220,0,True
41,東風谷早苗,東方Project,57.9,C,128,1,62334,0,False
42,雪花ラミィ,ホロライブ,57.8,C,183,1,17155,0,True
43,アーミヤ,アークナイツ,56.8,C,156,1,18976,0,False
44,ホタル,崩壊スターレイル,56.8,C,147,1,23101,0,False
45,十六夜咲夜,東方Project,56.3,C,96,1,75476,0,False
46,大空スバル,ホロライブ,55.9,C,127,1,24824,0,True
47,ミホノブルボン,ウマ娘,54.6,C,127,1,13000,0,False
48,後藤ひとり,ぼっち・ざ・ろっく！,53.5,B,0,0,42444,62,False
49,プラナ,ブルーアーカイブ,52.0,C,89,1,12618,0,False
50,銀狼,崩壊スターレイル,51.6,C,100,1,7214,0,False
51,フェルン,葬送のフリーレン,51.6,B,0,0,17427,62,False
52,ナツキ・スバル,Re:ゼロ,50.0,B,0,0,0,100,False
53,マキマ,チェンソーマン,49.3,B,0,0,30514,55,False
