rank,tag,zh,score,confidence,top_components
1,milf,熟女/MILF,1952.2,A,global_search_2025:1110.0;country_search:482.2;category_views_2025:360.0
2,lesbian,女同/Lesbian,1695.2,A,global_search_2025:930.0;category_views_2025:500.0;country_search:265.2
3,hentai,Hentai/成人动画,1665.2,A,global_search_2025:1200.0;country_search:465.2
4,anal,肛交,1271.9,A,global_search_2025:840.0;category_views_2025:290.0;country_search:111.7
5,pinay,菲律宾女性/Pinay,1100.0,A,global_search_2025:1020.0;country_search:80.0
6,trans,跨性别/Trans,988.0,A,category_views_2025:430.0;prior_2024_adj:394.0;category_moves:100.0
7,latina,拉丁裔女性,900.6,B,prior_2024_adj:520.0;country_search:295.7;category_moves:85.0
8,big_ass,大屁股/巨尻,866.0,A,global_search_2025:750.0;country_search:116.0
9,indian,印度,801.2,A,global_search_2025:660.0;category_moves:120.0;country_search:21.2
10,asian,亚洲,751.2,B,prior_2024_adj:520.0;country_search:231.2
11,japanese,日本,652.0,A,global_search_2025:570.0;country_search:82.0
12,creampie,中出/内射,643.8,B,prior_2024_adj:502.0;fanza_2026:93.5;ea_soft:35.0
13,threesome,3P,635.2,B,prior_2024_adj:484.0;country_search:151.2
14,big_tits,巨乳,579.2,B,prior_2024_adj:448.0;fanza_2026:96.3;ea_soft:35.0
15,blowjob,口交,565.2,B,prior_2024_adj:376.0;category_moves:80.0;fanza_2026:74.2
16,korean,韩国,560.0,A,global_search_2025:480.0;category_moves:80.0
17,femboy,男娘/Femboy,549.3,A,global_search_2025:390.0;country_search:137.3;fanza_2026:22.0
18,anime,动漫,531.0,B,prior_2024_adj:520.0;country_search:11.0
19,cosplay,Cosplay,526.4,B,prior_2024_adj:448.0;fanza_2026:68.8;country_search:9.6
20,stepmom,继母,520.0,B,prior_2024_adj:520.0
21,animation,动画,466.0,B,prior_2024_adj:466.0
22,ebony,黑人女性,464.4,B,prior_2024_adj:394.0;country_search:70.4
23,massage,按摩,430.0,B,prior_2024_adj:430.0
24,amateur,素人/业余,423.0,B,prior_2024_adj:232.0;fanza_2026:90.8;country_search:65.2
25,wife,人妻,418.8,B,prior_2024_adj:304.0;fanza_2026:79.8;ea_soft:35.0
26,cheating,出轨/偷情,408.6,C,move_2025:380.0;country_search:28.6
27,mature,成熟女性,380.4,A,category_views_2025:220.0;fanza_2026:85.2;country_search:75.1
28,pov,主观视角/POV,348.1,B,prior_2024_adj:268.0;country_search:80.1
29,gangbang,轮交,340.0,B,prior_2024_adj:340.0
30,joi,JOI/指令自慰,335.2,B,prior_2024_adj:250.0;country_search:85.2
31,bbc,BBC,322.0,B,prior_2024_adj:322.0
32,3d,3D,286.0,B,prior_2024_adj:286.0
33,squirt,潮吹,230.5,B,prior_2024_adj:214.0;country_search:16.5
34,bbw,丰满/BBW,196.0,B,prior_2024_adj:196.0
35,teacher,教师,178.0,B,prior_2024_adj:178.0
36,school,校园/制服学园,123.0,C,fanza_2026:88.0;ea_soft:35.0
37,ntr,NTR/寝取,117.5,C,fanza_2026:82.5;ea_soft:35.0
38,uniform,制服,112.0,C,fanza_2026:77.0;ea_soft:35.0
39,roleplay,角色扮演,110.0,C,category_moves:110.0
40,bishoujo,美少女,99.0,C,fanza_2026:99.0
41,solo_female,女性自慰,90.0,C,category_moves:90.0
42,colombian,哥伦比亚,72.5,C,country_search:72.5
43,pinoy,菲律宾男性,64.0,C,country_search:64.0
44,brazilian,巴西,56.0,C,country_search:56.0
45,german,德国,55.0,C,country_search:55.0
46,mexican,墨西哥,49.5,C,country_search:49.5
47,spanish,西班牙/西语,43.8,C,country_search:43.8
48,french,法国,40.0,C,country_search:40.0
49,italian,意大利,40.0,C,country_search:40.0
50,argentine,阿根廷,38.3,C,country_search:38.3
51,chinese,中国,36.0,C,country_search:36.0
52,facial,颜射,35.0,C,ea_soft:35.0
53,feet,足交/恋足,35.0,C,ea_soft:35.0
54,pantyhose,连裤袜,35.0,C,ea_soft:35.0
55,stockings,黑丝/丝袜,35.0,C,ea_soft:35.0
56,british,英国,26.0,C,country_search:26.0
57,polish,波兰,25.0,C,country_search:25.0
58,masturbation,自慰,24.0,C,country_search:24.0
59,facesitting,颜面骑乘,22.0,C,country_search:22.0
60,chilean,智利,15.0,C,country_search:15.0
61,egyptian,埃及,15.0,C,country_search:15.0
62,arab,阿拉伯,12.0,C,country_search:12.0
63,couple,情侣,11.4,C,country_search:11.4
64,russian,俄罗斯,9.0,C,country_search:9.0
65,peruvian,秘鲁,8.2,C,country_search:8.2
66,dutch,荷兰,7.6,C,country_search:7.6
