rank,id,zh,cat,score,conf,danbooru,danbooru_adj,sfw_penalty,civitai,d_s,c_s,p_s,t_s,f_s,x_s,aliases
1,bikini,比基尼,clothing,79.16,A,615387,492309,0.8,bikini:800+,92.7,100.0,80.8,50.0,35.0,50.0,"bikini,bikini"
2,swimsuit,泳装,clothing,78.44,A,807896,630158,0.78,swimsuit:800+,94.4,100.0,80.8,45.0,35.0,45.0,"swimsuit,swimsuit"
3,school_uniform,校服制服,clothing,76.55,A,950177,684127,0.72,school uniform:413,95.0,87.2,83.3,40.0,70.0,45.0,"school_uniform,school uniform"
4,maid,女仆装,clothing,75.12,A,185621,185621,1.0,maid:736,85.8,95.6,85.0,40.0,45.0,50.0,"maid,maid"
5,playboy_bunny,兔女郎,clothing,73.26,A,131405,131405,1.0,bunny:408,83.3,87.0,85.0,45.0,40.0,55.0,"playboy_bunny,bunny"
6,fellatio,口交,act,73.02,A,84606,84606,1.0,blowjob:679;oral:558,80.2,94.4,0.0,88.0,85.0,70.0,"fellatio,blowjob,oral"
7,anal,肛交,act,73.01,A,65171,65171,1.0,anal:757,78.4,96.0,0.0,95.0,55.0,75.0,"anal,anal"
8,lingerie,情趣内衣,clothing,71.44,A,63022,63022,1.0,lingerie:800+,78.1,100.0,50.0,55.0,40.0,50.0,"lingerie,lingerie"
9,serafuku,水手服,clothing,70.32,A,361691,271268,0.75,school uniform:413,88.5,87.2,76.5,30.0,55.0,35.0,"serafuku,school uniform"
10,black_pantyhose,黑丝/黑连裤袜,clothing,70.1,A,266178,266178,1.0,pantyhose:448;stockings:167,88.3,88.4,70.0,35.0,25.0,55.0,"black_pantyhose,pantyhose,stockings"
11,pantyhose,连裤袜,clothing,69.53,A,662959,662959,1.0,pantyhose:448,94.8,88.4,65.0,30.0,20.0,45.0,"pantyhose,pantyhose"
12,thighhighs,过膝袜,clothing,68.68,A,1387992,1138153,0.82,thighhighs:226;stockings:167,98.6,78.5,76.5,25.0,20.0,40.0,"thighhighs,thighhighs,stockings"
13,bdsm,BDSM,interaction,68.16,A,78793,78793,1.0,bdsm:800+,79.7,100.0,20.0,55.0,50.0,55.0,"bdsm,bdsm"
14,bondage,束缚,interaction,67.32,A,107416,107416,1.0,bondage:800+,81.9,100.0,20.0,50.0,45.0,50.0,"bondage,bound,bondage"
15,black_thighhighs,黑过膝袜,clothing,65.67,A,454730,454730,1.0,stockings:167,92.1,74.2,75.0,25.0,20.0,45.0,"black_thighhighs,stockings"
16,nurse,护士装,clothing,65.16,A,20062,20062,1.0,nurse:395,70.0,86.6,70.0,40.0,40.0,40.0,"nurse,nurse"
17,micro_bikini,微型比基尼,clothing,63.84,B,53374,53374,1.0,bikini:800+,77.0,100.0,40.0,35.0,25.0,30.0,"micro_bikini,bikini"
18,cum_in_pussy,中出/内射,finish,63.3,A,127065,127065,1.0,creampie:74,83.1,62.5,0.0,75.0,95.0,60.0,"cum_in_pussy,creampie"
19,facial,颜射,finish,62.65,A,55232,55232,1.0,facial:233;cumshot:169,77.2,79.0,0.0,70.0,50.0,65.0,"facial,facial,cumshot"
20,latex,乳胶衣,clothing,62.65,A,15021,15021,1.0,latex:800+,68.0,100.0,30.0,45.0,25.0,50.0,"latex,latex"
21,white_thighhighs,白丝/白过膝袜,clothing,62.57,A,304565,304565,1.0,stockings:167,89.3,74.2,70.0,20.0,15.0,40.0,"white_thighhighs,stockings"
22,nun,修女装,clothing,61.49,B,30428,30428,1.0,nun:389,73.0,86.4,70.0,25.0,20.0,30.0,"nun,nun"
23,femdom,女支配,interaction,59.78,A,20002,20002,1.0,femdom:579,70.0,92.1,15.0,45.0,40.0,50.0,"femdom,femdom"
24,handjob,手交,act,58.69,A,46318,46318,1.0,handjob:280,76.0,81.6,0.0,55.0,45.0,45.0,"handjob,handjob"
25,high_heels,高跟鞋,clothing,58.52,A,255469,217148,0.85,heels:112,86.9,68.4,34.0,35.0,25.0,40.0,"high_heels,heels"
26,paizuri,乳交,act,58.28,A,51752,51752,1.0,paizuri:251;titjob:55,76.7,80.0,0.0,50.0,70.0,35.0,"paizuri,paizuri,titjob"
27,miko,巫女服,clothing,57.98,B,21050,18945,0.9,miko:158,69.6,73.4,80.0,20.0,30.0,25.0,"miko,miko"
28,dildo,假阳具,toy,57.73,A,27706,27706,1.0,dildo:290,72.3,82.1,10.0,50.0,40.0,40.0,"dildo,dildo"
29,white_pantyhose,白连裤袜,clothing,57.53,B,79501,79501,1.0,pantyhose:448,79.8,88.4,45.0,15.0,10.0,25.0,"white_pantyhose,pantyhose"
30,ahegao,阿嘿颜,reaction,57.36,A,24794,24794,1.0,ahegao:172,71.5,74.6,40.0,35.0,30.0,55.0,"ahegao,ahegao"
31,cum_on_body,体射,finish,56.79,A,114305,114305,1.0,cumshot:169,82.3,74.3,0.0,50.0,30.0,40.0,"cum_on_body,cumshot"
32,fishnets,网袜,clothing,56.36,A,86040,86040,1.0,fishnet:58,80.3,59.0,50.0,35.0,20.0,40.0,"fishnets,fishnet_pantyhose,fishnet"
33,china_dress,旗袍,clothing,56.07,B,70017,70017,1.0,china dress:76;qipao:92,78.9,65.6,55.0,25.0,20.0,35.0,"china_dress,qipao,china dress,qipao"
34,collar,项圈,toy,54.06,B,243603,170522,0.7,collar:90,85.2,65.3,21.2,30.0,25.0,35.0,"collar,collar"
35,shibari,绳缚,interaction,53.46,A,20570,20570,1.0,shibari:130,70.2,70.6,25.0,35.0,40.0,40.0,"shibari,shibari"
